category	file	line	text
fixed-width-integer	clamonacc/clamonacc.h	51	    uint32_t ddd_enabled;
fixed-width-integer	clamonacc/clamonacc.h	54	    uint64_t fan_mask;
fixed-width-integer	clamonacc/clamonacc.h	59	    uint64_t sizelimit;
fixed-width-integer	clamonacc/clamonacc.h	60	    uint64_t extinfo;
fixed-width-integer	clamonacc/clamonacc.h	67	    int64_t portnum;
fixed-width-integer	clamonacc/clamonacc.h	69	    int32_t maxthreads;
fixed-width-integer	clamonacc/client/client.c	118	    int64_t timeout;
fixed-width-integer	clamonacc/client/client.c	192	int16_t onas_ping_clamd(struct onas_context **ctx)
fixed-width-integer	clamonacc/client/client.c	195	    uint64_t attempts           = ONAS_DEFAULT_PING_ATTEMPTS;
fixed-width-integer	clamonacc/client/client.c	196	    uint64_t interval           = ONAS_DEFAULT_PING_INTERVAL;
fixed-width-integer	clamonacc/client/client.c	200	    uint64_t i                  = 0;
fixed-width-integer	clamonacc/client/client.c	206	    uint16_t ret   = 0;
fixed-width-integer	clamonacc/client/client.c	207	    int64_t timeout;
fixed-width-integer	clamonacc/client/client.c	330	CURLcode onas_curl_init(CURL **curl, const char *ipaddr, int64_t port, int64_t timeout)
fixed-width-integer	clamonacc/client/client.c	513	    int64_t timeout;
fixed-width-integer	clamonacc/client/client.c	577	int onas_client_scan(const char *tcpaddr, int64_t portnum, int32_t scantype, uint64_t maxstream, uint64_t sizelimit, const char *fname, int fd, int64_t timeout, STATBUF sb, int *infected, int *err, cl_error_t *ret_code)
fixed-width-integer	clamonacc/client/client.c	589	    uint64_t effective_limit   = onas_effective_file_limit(maxstream, sizelimit);
fixed-width-integer	clamonacc/client/client.c	611	    if (regular_file && (uint64_t)sb.st_size > effective_limit) {
fixed-width-integer	clamonacc/client/client.c	85	static uint64_t onas_normalize_file_limit(uint64_t configured)
fixed-width-integer	clamonacc/client/client.c	93	static uint64_t onas_effective_file_limit(uint64_t maxstream, uint64_t sizelimit)
fixed-width-integer	clamonacc/client/client.h	34	int onas_client_scan(const char *tcpaddr, int64_t portnum, int32_t scantype, uint64_t maxstream, uint64_t sizelimit, const char *fname, int fd, int64_t timeout, STATBUF sb, int *infected, int *err, cl_error_t *ret_code);
fixed-width-integer	clamonacc/client/client.h	35	CURLcode onas_curl_init(CURL **curl, const char *ipaddr, int64_t port, int64_t timeout);
fixed-width-integer	clamonacc/client/client.h	39	int16_t onas_ping_clamd(struct onas_context **ctx);
